optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model
BO,madeline,binary,logloss,0,120.0,1.5870802323023478,3140,259,2,1570,1570,259,0.6737015113350628,0.670255,madeline.csv,"LogisticRegression(C=0.000974695138568608, max_iter=5000)"
BO,madeline,binary,logloss,1,120.0,1.638936491807302,3140,259,2,1570,1570,259,0.6754457746592788,0.670355,madeline.csv,"LogisticRegression(C=0.0008771113232811178, max_iter=5000)"
BO,madeline,binary,logloss,2,120.0,1.6224661906560263,3140,259,2,1570,1570,259,0.6734438060409315,0.670251,madeline.csv,"LogisticRegression(C=0.0009897787447919449, max_iter=5000)"
BO,madeline,binary,logloss,3,120.0,1.6565756916999816,3140,259,2,1570,1570,259,0.6738178789097058,0.670251,madeline.csv,"LogisticRegression(C=0.0010082451526371692, max_iter=5000)"
BO,madeline,binary,logloss,4,120.0,1.6128838737805684,3140,259,2,1570,1570,259,0.6753588014967032,0.670297,madeline.csv,"LogisticRegression(C=0.0009172703060780057, max_iter=5000)"
BO,philippine,binary,logloss,0,120.0,1.8058263659477234,5832,308,2,2916,2916,308,0.5739405457622534,0.556732,philippine.csv,"LogisticRegression(C=0.005011009313344852, max_iter=5000)"
BO,philippine,binary,logloss,1,120.0,1.8066752592722575,5832,308,2,2916,2916,308,0.5787798772182715,0.55678,philippine.csv,"LogisticRegression(C=0.0024109046042439923, max_iter=5000)"
BO,philippine,binary,logloss,2,120.0,1.8320419828097025,5832,308,2,2916,2916,308,0.574570691007792,0.556524,philippine.csv,"LogisticRegression(C=0.0031216990745677317, max_iter=5000)"
BO,philippine,binary,logloss,3,120.0,1.8400825023651124,5832,308,2,2916,2916,308,0.5714108064577552,0.556642,philippine.csv,"LogisticRegression(C=0.004588279721685211, max_iter=5000)"
BO,philippine,binary,logloss,4,120.0,1.7936441898345947,5832,308,2,2916,2916,308,0.5747657772960106,0.556517,philippine.csv,"LogisticRegression(C=0.003186132205880961, max_iter=5000)"
BO,test_dataset,binary,logloss,0,120.0,1.5102996031443279,15547,60,2,7773,7774,60,0.44838706518676136,0.45527,test.csv,"LogisticRegression(C=0.036189552701096264, max_iter=5000)"
